match_id,season_id,balls_per_over,city,match_date,event_name,match_number,gender,match_type,format,overs,season,team_type,venue,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets,result,player_of_match
335982,2008,6,Bangalore,2008-04-18,Indian Premier League,1.0,male,T20,T20,20,2008,club,M Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,140.0,,win,46.0
1082591,2017,6,Hyderabad,2017-04-05,Indian Premier League,1.0,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,35.0,,win,15.0
1082592,2017,6,Pune,2017-04-06,Indian Premier League,2.0,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,field,Kings XI Punjab,,7.0,win,36.0
1082593,2017,6,Rajkot,2017-04-07,Indian Premier League,3.0,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,,10.0,win,57.0
1082594,2017,6,Indore,2017-04-08,Indian Premier League,4.0,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,,6.0,win,71.0
1082595,2017,6,Bengaluru,2017-04-08,Indian Premier League,5.0,male,T20,T20,20,2017,club,M.Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,15.0,,win,4.0
1082596,2017,6,Hyderabad,2017-04-09,Indian Premier League,6.0,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,,9.0,win,22.0
1082597,2017,6,Mumbai,2017-04-09,Indian Premier League,7.0,male,T20,T20,20,2017,club,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,,4.0,win,26.0
1082598,2017,6,Indore,2017-04-10,Indian Premier League,8.0,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,,8.0,win,70.0
1082599,2017,6,Pune,2017-04-11,Indian Premier League,9.0,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Kings XI Punjab,Kings XI Punjab,Delhi Capitals,field,Delhi Capitals,97.0,,win,180.0
1082600,2017,6,Mumbai,2017-04-12,Indian Premier League,10.0,male,T20,T20,20,2017,club,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,,4.0,win,33.0
1082601,2017,6,Kolkata,2017-04-13,Indian Premier League,11.0,male,T20,T20,20,2017,club,Eden Gardens,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,,8.0,win,65.0
1082602,2017,6,Bangalore,2017-04-14,Indian Premier League,12.0,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,,4.0,win,29.0
1082603,2017,6,Rajkot,2017-04-14,Indian Premier League,13.0,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,,7.0,win,351.0
1082604,2017,6,Kolkata,2017-04-15,Indian Premier League,14.0,male,T20,T20,20,2017,club,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,17.0,,win,58.0
1082605,2017,6,Delhi,2017-04-15,Indian Premier League,15.0,male,T20,T20,20,2017,club,Feroz Shah Kotla,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,51.0,,win,258.0
1082606,2017,6,Mumbai,2017-04-16,Indian Premier League,16.0,male,T20,T20,20,2017,club,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,,6.0,win,26.0
1082607,2017,6,Bangalore,2017-04-16,Indian Premier League,17.0,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,field,Kings XI Punjab,27.0,,win,37.0
1082608,2017,6,Delhi,2017-04-17,Indian Premier League,18.0,male,T20,T20,20,2017,club,Feroz Shah Kotla,Delhi Capitals,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,,4.0,win,471.0
1082609,2017,6,Hyderabad,2017-04-17,Indian Premier League,19.0,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,5.0,,win,20.0
